Lifecycle,Definition,AMO,COO Ops Americas,COO Ops S&I,GOTO Operations & COO,IB Operations (BA),P&C Operations,Treasury
"Account, Interest Management & CIF","The service consists of general management and maintenance of client static data for all types of clients including blockings/instructions and different set-up's for client, account, or custody accounts. Moreover, the service provides the maintenance of internal accounts such as openings, closings, and changes to different attributes. Also included are corrections, investigations, business support, suspense account handling, and NOK handling for cash and securities positions, as well as maintenance of interest conditions and exception handling. All the services are handled individually or via bulk upload. This service is provided by ABC Bank employees located in Switzerland",0,0,1,0,0,2,0
Accounts Payable,"Processing and payment of invoices from ABC Bank suppliers and T&E claims from ABC Bank staff. Service is provided to all Business Divisions globally out of CH, UK, US and APAC both onshore and offshore staff",0,0,0,3,0,0,0
Balance Sheet Substantiation,"Supports verification of books & records through GeneralLedgerAccountOwnership process by reconciling internally held data vs external data sources or internal systems. Service also incl. centralized, independent group for SOX testing. ",0,0,0,0,0,0,0
Bank Notes,"Offers distribution of fresh bank notes to the market and ABC Bank branches, as well as collecting and returning of old notes to the Swiss National Bank. In addition to CHF, ABC Bank also supplies clients in CH with notes in EUR and other foreign currencies.",0,0,0,0,0,3,0
Cash Management (Treasury Services),"Cash Management ensures firm’s cash is efficiently deployed while meeting operational and regulatory requirements. This includes forecast and optimization of balances to minimize ABC Bank' funding costs and exposures while supporting Group Treasury to maintain an optimal balance between liquidity, risk, and return for ABC Bank.  ",2,0,3,0,0,11,0
Client Reporting,"Provision of reporting services to support clients such as client statements, regulatory reports, performance reporting and analytics, risk analytics, investment accounting, audit reports, completeness confirmations, backdated statement of assets, data feeds, compliance monitoring and respective customer services.",3,3,5,0,0,2,0
Client Servicing (Institutional),"Providing day to day client support, dealing with first level of client query management including providing solutions to operational queries, trouble shooting and break resolution for Institutional clients",0,0,3,0,1,0,0
Client Servicing (retail / Individual / Family Offices),"Providing day to day client support, dealing with first level of client query management including providing solutions to operational queries, trouble shooting and break resolution for Retail / Individual / Family Offices clients",0,6,5,0,0,0,0
Collateral & Margin Management,"Provides Collateral and Margin management services to facilitate credit risk mitigation and to meet regulatory requirements. Includes calculation, distribution, booking, optimization, dispute resolution of margin calls and the provision of client valuations as a client. ",0,1,1,0,12,0,0
"Confirmations, Clearing, Settlement & Custody’ ","Process settlement of transactions for clients, other counterparts (e.g. Stock exchanges) and ABC Bank entities - ensuring they are correctly affirmed, confirmed, cleared, settled, reconciled and represented in books and records. Transaction processing to enrich,  validate, confirm and exception resolution to ensure transactions are ready for settlement processing. Where required, management of physical settlement.",0,0,0,0,0,0,0
Corporate Actions,"Provision of corporate events processing for securities including events capture, notification to internal and external clients, election, client account processing and record keeping.",2,1,5,0,5,0,0
Credit Services,Provision of mortgage services & collateral handling including; preparation of credit agreements; management of required collateral; setting up and amending credit-related static data and external payments; release of credit limits; and construction loan control to client advisors. Provision of loans processing services to client advisers.,0,0,0,0,0,0,0
Data Analytics,"This Service covers: 1) Automation: Center of Excellence (COE) supporting automation solutions, analysis and delivery. 2) RAS (Reporting & Analytics Services):  Prepare and distribute risk and operational risk reporting constituting of unsettled breaks across products and locations, Operational reports, start/end of day and intra-day status. Provides support for SOX/Critical EUCs and re-platforming to standard applications.",0,0,0,3,0,0,0
Data Management Office,"The Group Data Management Office (GDMO) is a group wide Center of Expertise to ensure appropriate governance over our important data and good quality data in place to support the firm’s business goals.  Responsible for setting Data Management Policy and Framework, partner with business divisions and group functions to foster data driven culture.",0,0,0,11,0,0,0
Fees,"Validation and processing of income from clients, fees and commissions",0,0,0,0,0,0,0
Global Loans Processing,"Oversight and responsibility for loan execution and completion.  Includes reviews of deal legal documents, secure physical collateral, book and funds transactions, and servicing administration of the loan product as a lender or agent",0,0,0,0,0,0,0
Integration,Activities directly related to the integration of ABC Bank and CS which are temporary and  incremental. ,0,0,0,0,0,0,0
Management / Oversight,"Overall management of underlying services, focused on shaping value propositions and designing the end-to-end process and control environment.",0,0,0,0,0,0,0
Market Data Management,"Provides governance and oversight for all data vendor cost, demand, and spend in RDO, including operating plan target and data vendor management practices (sourcing, procurement and contract management). ",0,0,0,6,0,0,0
Middle Office,"Middle Office provides FO business F2B cross operational support ensuring transactional and market data integrity, the accuracy and complete execution of lifecycle events and management of trade and transactional reporting exceptions. ",1,0,0,0,34,0,2
Network Management,"NMI manages post trade third party provider networks for clearing, settlement and custody services including provider relationship and account maintenance, spend and access to market information.",0,0,0,8,0,0,0
Other,Sub Services which do not fit into any other Lifecycle category,0,0,0,0,0,0,0
Out of Scope,Sub Service where the activity is either inactive or scheduled to be decommissioned,0,0,0,0,0,0,0
Output Management,"Provisions delivery of business documents (via physical and electronic channels) to ABC Bank clients or internal stakeholders in time and quality, driven by our high-quality standards, service level agreements and regulatory requirement",0,0,0,0,0,0,0
Own Consumption,Technical service to onward bill costs received from Non-IT Group Functions,0,0,0,0,0,0,0
Payments,"Provider of cross-divisional and global payments services within the ABC Bank Group providing a high-end payments service execution for both internal and external clients. This includes service and functional management, payments processing and investigations, Continuous Linked Settlement offering for 3rd parties, VIP services for corporate clients, Instant Payments transformation and Cyber Fraud -and Risk prevention.",0,0,4,0,0,42,0
Reconciliation ,"Supports the verification of ABC Bank books and records, by reconciling internally held data against external data sources (agent banks, custodians, exchanges) and reconciling data between ABC Bank internal systems (e.g. Front Office vs Back Office). ",0,0,0,9,0,0,0
Records Management,Client Document and Records Management - Infomation Capturing and Processing as well as Archiving and Records Management,0,0,0,5,0,0,0
Reference Data Management,"Provision of financial instrument static data, other related reference data (Issuer, ratings, etc.) and pricing data in central data masters, through managed services vendors. Services include sourcing, mastering, maintenance and distribution of data (from various data providers such as Bloomberg, Six FI, IDC etc.) for listed securities.",0,0,1,23,0,0,0
Small Offices,"Small location Operations teams supporting F2B processing activities including (but limited to) onboarding, account data management, account opening, trade support, transaction/ trade capture, invoice processing, credit services, teller services, credit card services, and payments. ",0,0,0,0,0,0,0
Tax Operations,"Provisioning of Tax related services for ABC Bank (e.g. Stamp duty, Withholding tax, FTT) and clients (e.g. Client Tax Reports). Services include reporting to regulators, acting as clients’ tax paying agent, management of tax reclaims, Relief at Source (RaS) and Tax Vouchers.  ",4,7,20,0,47,0,0
Trade Finance Services,"Covers all activities along the lifecycle of the instruments end to end. Including documentary collections; guarantees, guarantees received; Letters of Credit (L/Cs); Letters of Undertaking, participations; and reimbursement mandates.",0,0,0,0,0,0,0
Transaction Reporting,"Defines, monitors and governs adherence to global control standards and design principles for all Operations Regulatory Transaction Reporting (RTR). Provides report owners with report processing services, quality assurance services and supporting the onboarding of new RTR obligations.",2,0,0,0,7,0,0
Transaction Screening,"Provision of 1st cut sanctions and Halt-of-Business screening services for asset -moving transactions, which come from the market / other ABC Bank legal entity, or which go to the market / other ABC Bank legal entity",0,0,0,8,0,0,0
