Geographical Origin,Country of Origin
International,International
CH,Switzerland
EMEA (ESE),Denmark
EMEA (ESE),European Union
EMEA (ESE),France
EMEA (ESE),Germany
EMEA (ESE),Ireland
EMEA (ESE),Italy
EMEA (ESE),Luxembourg
EMEA (ESE),Netherlands
EMEA (ESE),Poland
EMEA (ESE),Portugal
EMEA (ESE),Spain
EMEA (ESE),Sweden
UK,United Kingdom
UK,Albania
UK,Algeria
UK,Andorra
UK,Angola
UK,Austria
UK,Bahrain
UK,Belarus
UK,Belgium
UK,Benin
UK,Bosnia and Herzegovina
UK,Botswana
UK,Bulgeria
UK,Burundi
UK,Cameroon
UK,Cape Verde
UK,Cote d'lvoire
UK,Croatia
UK,Cyprus
UK,Czech Republic
UK,Democratic Republic of the Congo
UK,Egypt
UK,Estonia
UK,Eswatini
UK,Ethiopia
UK,Finland
UK,Gabon
UK,Ghana
UK,Gibraltar
UK,Greece
UK,Guernsey
UK,Hungary
UK,Iceland
UK,Iran
UK,Iraq
UK,Isle of Man
UK,Israel
UK,Jersey
UK,Jordan
UK,Kenya
UK,Kosovo
UK,Kuwait
UK,Latvia
UK,Lebanon
UK,Libya
UK,Liechtenstein
UK,Lithuania
UK,Madagascar
UK,Malta
UK,Mauritius
UK,Moldova
UK,Mocaco
UK,Montegarlo
UK,Morocco
UK,Namibia
UK,Niger
UK,Nigeria
UK,Norway
UK,Oman
UK,Qatar
UK,Republic of Congo
UK,Romania
UK,Russian Federation
UK,Rwanda
UK,San Marino
UK,Saudi Arabia
UK,Senegal
UK,Serbia
UK,Seychelles
UK,Sierra Leone
UK,Slovania
UK,South Africa
UK,Syria
UK,Tanzania
UK,Tunisia
UK,Turkey
UK,Uganda
UK,Ukraine
UK,UAE
UK,Zambia
UK,Zimbabwe
EMEA (Others),Afganistan
APAC,Armenia
APAC,Australia
APAC,Azerbaijan
APAC,Bangladesh
APAC,Brunei
APAC,Cambodia
APAC,China
APAC,Comoros
APAC,Fiji
APAC,Georgia
APAC,Hong Kong
APAC,India
APAC,Indonesia
APAC,Japan
APAC,Kazakhstan
APAC,Kyrguztan
APAC,Labuan
APAC,Laos
APAC,Macau
APAC,Malaysia
APAC,Maldivies
APAC,Marshall Islands
APAC,Mongolia
APAC,Myanman
APAC,Nepal
APAC,New Zealand
APAC,Pakistan
APAC,Papua New Guinea
APAC,Philippines
APAC,Singapore
APAC,South Korea
APAC,Srilanka
APAC,Taiwan
APAC,Tajakistan
APAC,Thailand
APAC,Uzbekistan
APAC,Vietnam
N. AMER,Bermuda
N. AMER,California
N. AMER,Canada
N. AMER,USA
LATAM,Antigua and Barbuda
LATAM,Argentina
LATAM,Barbados
LATAM,Belize
LATAM,Bolivia
LATAM,Brazil
LATAM,British Virgin Islands
LATAM,Cayman Islands
LATAM,Chile
LATAM,Comlombia
LATAM,Costa Rica
LATAM,Curacao
LATAM,Dominican Republic
LATAM,Ecuador
LATAM,El Salvador
LATAM,Guatemala
LATAM,Guyana
LATAM,Honduras
LATAM,Jamaica
LATAM,Mexico
LATAM,Nicaragua
LATAM,Panama
LATAM,Paraguay
LATAM,Peru
LATAM,Puerto Rico
LATAM,Saint Kitts and Nevis
LATAM,Saint Maarten
LATAM,The Bahamas
LATAM,Trinidad and Tobago
LATAM,Urugua
LATAM,Venezuela
